Team,Team within selected timeframe,Age,Market value,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Shots against,Clean sheets,"Save rate, %",xG against,xG against per 90,Back passes received as GK per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",AMF,CB,CF,DMF,GK,LAMF,LB,LCB,LCMF,LDMF,LW,LWB,LWF,RAMF,RB,RCB,RCMF,RDMF,RW,RWB,RWF,Foot_both,Foot_left,Foot_right,Foot_unknown,On loan_no,On loan_yes
724,370,19.0,0,30,983,3.0,2.58,0,0.88,27.4,44.77,0,5,0,0,7.22,7.12,56.94,3.56,47.22,0.3,0.43,0.1,2.87,4.16,1.38,3,0.27,0,0.0,5.34,0.27,3,0.3,0.26,0,0.0,24,2.37,62.5,12.5,0.0,2.77,28.57,0.49,40.0,2.27,26.09,0.3,6.23,49.21,12.76,41.09,3.36,2.67,14.93,1.38,1.98,23.44,70.89,6.33,56.25,5.34,90.74,7.42,69.33,19.29,78.46,1.58,50.0,18.03,16.23,0.09,0.89,0.2,0.0,0.2,0.0,0.4,2.67,59.26,2.08,42.86,0.3,33.33,0.49,0.79,3.36,64.71,0,0,0,0.0,0.0,0.0,0.1,0.1,0.1,100.0,1.09,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,False,False,True,False,True,False
116,51,19.0,0,30,2470,2.0,2.8,0,1.57,17.26,50.97,0,5,0,0,8.5,7.83,57.35,3.16,51.76,0.26,0.33,0.22,3.75,4.71,1.45,4,0.15,0,0.0,1.49,0.07,2,0.07,0.1,1,0.04,46,1.71,32.61,4.348,0.0,1.23,39.39,1.04,39.29,0.19,40.0,0.15,1.0,40.74,3.94,41.51,1.26,0.97,17.41,0.71,0.52,27.44,84.44,8.13,71.69,4.6,99.19,10.4,88.21,23.43,90.17,2.86,57.14,20.19,36.31,0.06,0.48,0.07,0.0,0.04,100.0,0.11,4.38,69.49,1.34,50.0,0.26,57.14,0.26,0.45,4.57,78.05,0,0,0,0.0,0.0,0.0,0.07,1.0,0.33,22.22,1.41,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,True,False
1347,693,20.0,0,12,619,0.0,0.23,0,0.0,20.36,50.0,1,9,189,76,9.6,8.87,54.1,7.42,52.94,0.15,0.22,0.58,4.65,6.96,1.6,2,0.29,0,0.0,0.44,0.0,0,0.0,0.03,0,0.0,5,0.73,0.0,0.0,0.0,0.29,50.0,0.0,0.0,0.15,100.0,0.0,0.29,100.0,1.45,50.0,0.58,0.15,24.43,0.0,0.58,41.29,84.15,13.23,64.84,4.22,100.0,19.63,93.33,35.91,89.88,5.09,45.71,19.31,27.07,0.0,0.15,0.0,0.0,0.0,0.0,0.0,6.98,70.83,0.0,0.0,0.15,0.0,0.0,0.15,7.42,68.63,0,0,0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
830,427,30.0,0,22,1605,3.0,3.17,0,0.98,22.3,44.86,2,11,182,73,8.14,4.88,56.79,3.86,53.13,0.36,0.52,0.06,5.0,7.2,1.45,4,0.22,0,0.0,3.8,0.17,2,0.12,0.19,0,0.0,23,1.39,47.83,8.696,0.0,3.62,20.0,0.0,0.0,3.62,20.0,0.3,4.52,52.0,10.43,38.15,2.17,1.99,13.44,2.05,2.11,20.68,59.18,5.43,48.89,3.68,85.25,6.87,52.63,15.67,71.15,1.87,25.81,18.47,29.07,0.06,0.72,0.06,0.0,0.12,50.0,0.36,1.87,35.48,3.26,33.33,0.18,33.33,0.66,0.66,3.32,60.0,0,0,0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,False,False,True,False,True,False
181,79,19.0,0,17,980,0.0,0.52,0,0.61,20.66,53.33,2,11,174,0,8.36,6.8,66.22,2.57,46.43,0.37,0.5,0.37,3.49,4.77,1.19,3,0.28,0,0.0,2.11,0.0,0,0.0,0.05,0,0.0,15,1.38,20.0,0.0,0.0,0.64,14.29,0.28,0.0,0.37,25.0,0.0,2.85,61.29,8.36,45.05,0.28,1.38,22.22,0.28,1.38,34.99,89.24,7.99,77.01,6.98,97.37,12.49,94.85,33.43,91.48,0.92,60.0,15.66,15.65,0.06,0.37,0.0,0.0,0.0,0.0,0.0,4.68,86.27,0.73,50.0,0.09,0.0,0.18,0.09,2.48,74.07,0,0,0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False,False,True,False,True,False
461,658,22.0,0,22,1250,1.0,1.55,0,0.87,25.34,46.88,2,11,170,62,5.47,6.05,53.57,1.3,33.33,0.07,0.09,0.22,2.16,2.74,1.66,3,0.22,0,0.0,4.39,0.07,1,0.07,0.11,0,0.0,25,1.8,8.0,4.0,0.0,2.81,23.08,1.87,15.38,0.94,38.46,0.36,6.84,51.58,15.41,46.73,2.81,2.66,12.24,1.01,2.45,18.65,62.93,4.61,54.69,2.95,85.37,6.84,65.26,14.69,72.06,1.22,47.06,20.65,14.0,0.06,0.65,0.0,0.07,0.43,16.67,0.14,1.3,55.56,2.59,47.22,0.58,0.0,0.72,0.65,2.52,68.57,0,0,0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
428,191,25.0,0,30,2846,2.0,1.49,0,0.61,14.55,66.09,2,11,193,88,9.27,4.93,76.92,5.88,70.43,0.54,0.72,0.51,4.93,6.6,0.66,10,0.32,0,0.0,0.47,0.06,2,0.06,0.05,2,0.06,12,0.38,25.0,16.667,0.0,0.09,66.67,0.06,50.0,0.03,100.0,0.0,0.63,45.0,1.8,36.84,0.73,0.38,26.56,0.13,0.54,43.04,84.86,21.09,78.11,1.64,94.23,16.22,92.98,37.35,90.26,5.6,49.15,20.7,36.6,0.02,0.13,0.0,0.06,0.13,25.0,0.09,4.84,61.44,0.6,42.11,0.47,13.33,0.22,0.06,7.4,66.67,0,0,0,0.0,0.0,0.0,0.89,0.03,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,True,False,True,False
763,391,24.0,0,26,1351,1.0,1.22,2,0.13,17.72,56.39,2,11,180,75,9.13,7.06,68.87,2.53,50.0,0.6,1.03,0.2,3.66,6.27,1.4,3,0.2,0,0.0,1.33,0.07,1,0.07,0.08,0,0.0,17,1.13,29.41,5.882,0.13,0.33,0.0,0.13,0.0,0.2,0.0,0.07,1.2,61.11,4.93,47.3,1.0,1.0,32.51,0.2,1.8,47.36,85.94,13.19,70.2,7.59,96.49,20.19,93.4,42.97,89.3,4.13,56.45,19.59,33.9,0.01,0.27,0.0,0.2,0.73,36.36,0.13,8.33,71.2,1.67,32.0,1.2,33.33,0.53,0.07,7.39,74.77,0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,True,False
895,460,30.0,0,21,998,1.0,0.46,2,0.77,26.15,42.76,2,15,177,69,6.76,5.95,71.21,6.13,35.29,0.18,0.25,0.09,2.34,3.31,0.9,2,0.18,0,0.0,1.44,0.09,1,0.09,0.04,1,0.09,5,0.45,60.0,20.0,0.18,1.35,26.67,0.09,0.0,1.26,28.57,0.18,1.98,40.91,9.02,34.0,1.35,0.54,10.73,1.8,2.43,18.31,73.4,3.79,61.9,5.59,83.87,4.24,63.83,16.05,78.65,1.08,50.0,13.65,15.24,0.07,0.81,0.0,0.09,0.0,0.0,0.45,1.26,42.86,1.08,41.67,0.18,0.0,0.18,0.36,2.25,48.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False,False,True,False,True,False
1284,658,39.0,0,8,375,0.0,1.32,0,0.23,24.0,39.0,2,15,176,70,4.08,5.04,33.33,4.08,29.41,0.24,0.39,0.24,2.16,3.55,2.4,2,0.48,0,0.0,3.6,0.0,0,0.0,0.32,0,0.0,10,2.4,30.0,0.0,0.0,1.92,37.5,1.2,60.0,0.72,0.0,0.72,4.32,50.0,11.52,45.83,5.52,1.44,15.36,1.92,1.92,20.64,69.77,5.28,63.64,3.6,60.0,7.92,81.82,18.48,72.73,0.24,100.0,14.34,3.5,0.06,0.96,0.0,0.0,0.24,0.0,0.96,2.16,66.67,1.44,83.33,0.24,0.0,1.44,0.96,3.36,71.43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False
